88.208.41.216	1762330799	Ali01	#E5E5E5	#191919	54
88.208.41.216	1762330802	Ali01	#D2B48C	#964B00	76
88.208.41.216	1762330805	Ali01	#FFBA00	#C0FF00	63
88.208.41.216	1762330808	Ali01	#F5FFFA	#BDFCC9	77
88.208.41.216	1762330812	Ali01	#FFFFFF	#000000	0
88.208.41.216	1762330817	Ali01	#FF7F7F	#99FF7F	41
88.208.41.216	1762330820	Ali01	#CBFF00	#F4FFCC	64
88.208.41.216	1762330823	Ali01	#9AB973	#808000	73
88.208.41.216	1762330826	Ali01	#111110	#4016E5	57
88.208.41.216	1762330829	Ali01	#B7410E	#FF7F50	73
88.208.41.216	1762332540	Daniel	#4904E4	#B98602	0
88.208.41.216	1762332547	Daniel	#666666	#999999	90
88.208.41.216	1762332568	Paula	#964600	#964600	100
88.208.41.216	1762332571	Daniel	#DF00FF	#FF00FF	80
88.208.41.216	1762332576	Paula	#0F52BA	#000080	80
88.208.41.216	1762332577	Daniel	#F5FFFA	#BDFCC9	80
62.85.36.247	1762332578	Loreta	#FFD700	#0057B7	10
80.232.160.94	1762332589	bike	#4C607F	#E52D9C	0
88.208.41.216	1762332590	Paula	#BDFCC9	#F5FFFA	30
62.85.36.247	1762332592	Loreta	#FF7F50	#B7410E	80
80.232.160.94	1762332595	bike	#DF73FF	#C41E3A	0
88.208.41.216	1762332596	Paula	#FFD700	#FFD700	95
80.232.160.94	1762332599	bike	#191919	#E5E5E5	0
80.89.73.13	1762332600	Di	#2D77E5	#E52D9C	70
88.208.41.216	1762332604	Paula	#FF00FF	#DF00FF	80
80.232.160.94	1762332604	bike	#FF0000	#00FFFF	0
62.85.36.247	1762332605	Loreta	#CBFF00	#F4FFCC	84
88.208.41.216	1762332608	Paula	#CB00D6	#07EB1D	0
80.89.73.13	1762332610	Di	#FFD700	#FFD700	94
80.232.160.94	1762332610	bike	#004C1E	#00FF66	57
80.232.160.94	1762332613	bike	#FFA07A	#FA8072	65
88.208.41.216	1762332616	Paula	#111110	#4016E5	15
80.89.73.13	1762332617	Di	#FFFDD0	#FFF8E7	75
80.232.160.94	1762332617	bike	#FF7F7F	#99FF7F	0
88.208.41.216	1762332620	Paula	#11B252	#6BB287	60
62.85.36.247	1762332621	Loreta	#4C4C4C	#B2B2B2	70
80.89.73.13	1762332622	Di	#C3B091	#BDB76B	55
80.232.160.94	1762332623	bike	#5B92E5	#284166	73
80.89.73.13	1762332626	Di	#B2A0AB	#B22379	50
80.232.160.94	1762332626	bike	#000000	#FFFFFF	0
88.208.41.216	1762332627	Paula	#C41E3A	#DF73FF	30
93.177.199.84	1762332628	Aleksandrs	#333333	#CCCCCC	10
80.232.160.94	1762332630	bike	#33240F	#CC923D	61
80.89.73.13	1762332632	Di	#2800CC	#9B8ECC	48
80.232.160.94	1762332634	bike	#5B994C	#CC8214	0
88.208.41.216	1762332636	Paula	#0057B7	#FFD700	5
80.89.73.13	1762332639	Di	#FFD700	#FFD700	99
93.177.199.84	1762332639	Aleksandrs	#CC8214	#5B994C	5
88.208.41.216	1762332642	Paula	#787878	#828282	95
80.89.73.13	1762332645	Di	#FAFAF0	#F0F0E6	89
62.85.36.247	1762332645	Loreta	#4C607F	#E52D9C	50
88.208.41.216	1762332650	Paula	#002FA7	#00005C	70
93.177.199.84	1762332651	Aleksandrs	#E52D9C	#2D77E5	7
80.89.73.13	1762332652	Di	#14960A	#14960A	96
88.208.41.216	1762332654	Paula	#B7410E	#FF7F50	60
80.89.73.13	1762332656	Di	#07EB1D	#CB00D6	35
62.85.36.247	1762332657	Loreta	#11B252	#6BB287	70
93.177.199.84	1762332658	Aleksandrs	#9B8ECC	#2800CC	15
88.208.41.216	1762332660	Paula	#4C607F	#E52D9C	2
80.89.73.13	1762332661	Di	#808000	#9AB973	55
93.177.199.84	1762332663	Aleksandrs	#E5FFE5	#001900	1
62.85.36.247	1762332664	Loreta	#FFD700	#0057B7	0
88.208.41.216	1762332664	Paula	#494854	#ABF60D	0
80.89.73.13	1762332666	Di	#E59C2D	#7F5619	56
88.208.41.216	1762332668	hey	#CC923D	#33240F	0
88.208.41.216	1762332671	Paula	#FF7F50	#B7410E	70
62.85.36.247	1762332673	Loreta	#002FA7	#00005C	71
80.89.73.13	1762332673	Di	#FF7F50	#B7410E	48
93.177.199.84	1762332673	Aleksandrs	#07EB1D	#CB00D6	5
88.208.41.216	1762332674	hey	#C41E3A	#DF73FF	3
80.89.73.13	1762332676	Di	#F4FFCC	#CBFF00	43
88.208.41.216	1762332678	hey	#000000	#FFFFFF	0
88.208.41.216	1762332678	Paula	#964600	#964600	95
88.208.41.216	1762332681	Paula	#14960A	#14960A	100
62.85.36.247	1762332682	Loreta	#FA8072	#FFA07A	67
80.89.73.13	1762332684	Di	#FF7F7F	#99FF7F	23
88.208.41.216	1762332685	Paula	#999999	#666666	80
88.208.41.216	1762332685	hey	#FFA07A	#FA8072	90
93.177.199.84	1762332685	Aleksandrs	#BDB76B	#C3B091	45
88.208.41.216	1762332689	hey	#E52D9C	#2D77E5	50
80.89.73.13	1762332691	Di	#14960A	#14960A	97
88.208.41.216	1762332691	Paula	#DF73FF	#C41E3A	15
88.208.41.216	1762332692	hey	#4C607F	#E52D9C	56
88.208.41.216	1762332695	Paula	#E6E6FA	#D8BFD8	80
88.208.41.216	1762332696	hey	#828282	#787878	100
80.89.73.13	1762332696	Di	#666666	#999999	64
62.85.36.247	1762332697	Loreta	#FFD700	#CC7722	66
80.89.73.13	1762332700	Di	#661445	#E52D9C	46
88.208.41.216	1762332701	Paula	#CC8214	#5B994C	55
88.208.41.216	1762332701	hey	#964B00	#D2B48C	74
62.85.36.247	1762332703	Loreta	#002FA7	#00005C	72
93.177.199.84	1762332703	Aleksandrs	#14960A	#14960A	99
81.198.67.29	1762332704	Baiba	#1AF000	#0B09F2	32
88.208.41.216	1762332704	hey	#E6E6FA	#D8BFD8	94
80.89.73.13	1762332706	Di	#4C607F	#E52D9C	14
88.208.41.216	1762332707	hey	#FFD700	#FFD700	100
62.85.36.247	1762332710	Loreta	#FA8072	#FFA07A	68
88.208.41.216	1762332711	hey	#F0F0E6	#FAFAF0	98
88.208.41.216	1762332713	Paula	#99FF99	#40E0D0	40
80.89.73.13	1762332714	Di	#CB00D6	#07EB1D	3
88.208.41.216	1762332714	hey	#808000	#9AB973	92
81.198.67.29	1762332714	Baiba	#999999	#666666	89
